Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD),majmooe_emkanat,Area_per_Room,nesbat_otagh_be_area
53,1,1,1,0,East Ferdows Boulevard,19200000000,640000,2,5300000,18867924528301802e58
90,1,0,1,0,Pakdasht KhatunAbad,8500000000,2833333,1,9000000,11111111111111102e58
72,2,1,1,1,Amirieh,16500000000,550000,3,3600000,277777777777777e58
74,2,1,1,1,Amirieh,17000000000,5666667,3,3700000,27027027027026998e42
88,3,0,0,1,Parand,5600000000,1866667,1,2933333333333333e62,34090909090909e42
63,1,1,1,1,Punak,21500000000,7166667,3,6300000,15873015873015802e58
114,3,1,1,1,Sattarkhan,55000000000,18333333,3,3800000,26315789473684202e44
151,3,1,1,1,Saadat Abad,102000000000,3400000,3,5033333333333334e62,19867549668874104e60
42,1,1,0,1,Shahran,17600000000,5866667,2,4200000,238095238095238e58
74,2,1,1,1,Amirieh,17000000000,5666667,3,3700000,27027027027026998e42
88,3,0,0,1,Parand,5600000000,1866667,1,2933333333333333e62,34090909090909e42
63,1,1,1,1,Punak,21500000000,7166667,3,6300000,15873015873015802e58
114,3,1,1,1,Sattarkhan,55000000000,18333333,3,3800000,26315789473684202e44
151,3,1,1,1,Saadat Abad,102000000000,3400000,3,5033333333333334e62,19867549668874104e60
42,1,1,0,1,Shahran,17600000000,5866667,2,4200000,238095238095238e58
300,3,1,1,0,Baghestan,15000000000,500000,2,10000000,10000
110,2,1,1,1,West Ferdows Boulevard,37300000000,12433333,3,5500000,181818181818181e44
100,2,0,0,0,Shahrake Qods,6200000000,2066667,0,5000000,20000
140,1,0,0,0,Shahryar,5800000000,1933333,0,14000000,7142857142857099e42
70,2,1,1,1,Northern Janatabad,30500000000,10166667,3,3500000,285714285714285e44
60,2,1,1,0,West Ferdows Boulevard,20000000000,6666667,2,3000000,333333333333333e44
76,2,1,1,1,North Program Organization,26000000000,8666667,3,3800000,26315789473684202e44
148,3,1,1,1,Daryan No,59900000000,19966667,3,4933333333333334e63,202702702702702e44
75,2,1,1,1,North Program Organization,23000000000,7666667,3,3750000,266666666666666e44
40,1,1,1,0,Pirouzi,13000000000,4333333,2,4000000,250000
65,2,1,1,1,Southern Program Organization,22700000000,7566667,3,3250000,307692307692307e44
140,3,1,1,1,Rudhen,40000000000,13333333,3,4666666666666666e61,214285714285714e44
110,2,1,1,1,West Pars,40000000000,13333333,3,5500000,181818181818181e44
70,2,1,0,1,Afsarieh,16500000000,550000,2,3500000,285714285714285e44
128,3,1,1,1,Marzdaran,67000000000,22333333,3,42666666666666657e61,2343750000
94,2,1,1,1,Parand,5800000000,1933333,3,4700000,212765957446808e44
67,1,1,1,1,Punak,23000000000,7666667,3,6700000,14925373134328301e60
75,1,1,1,1,Shahrake Qods,6500000000,2166667,3,7500000,133333333333333e58
40,0,0,0,0,Shahrake Qods,2480000000,826667,0,inf,00
97,2,1,1,1,Pardis,5100000000,170000,3,4850000,20618556701030902e58
110,2,1,1,1,Shahran,38500000000,12833333,3,5500000,181818181818181e44
150,3,1,1,1,Sadeghieh,60000000000,2000000,3,5000000,20000
75,2,0,0,0,Chahardangeh,7800000000,260000,0,3750000,266666666666666e44
137,3,1,1,1,ShahrAra,72000000000,2400000,3,4566666666666665e62,21897810218978102e58
85,2,1,1,1,Parand,4100000000,1366667,3,4250000,235294117647058e58
68,2,0,1,0,Pakdasht,4300000000,1433333,1,3400000,29411764705882303e58
78,2,0,1,0,Baqershahr,8000000000,2666667,1,3900000,25641025641025602e44
85,2,1,1,1,Parand,5450000000,1816667,3,4250000,235294117647058e58
100,2,1,1,0,Parand,12800000000,4266667,2,5000000,20000
71,2,1,1,1,Punak,28000000000,9333333,3,3550000,28169014084507e55
140,3,1,1,1,Gisha,112000000000,37333333,3,4666666666666666e61,214285714285714e44
136,3,1,1,0,Parand,7500000000,250000,2,4533333333333334e62,220588235294117e58
48,1,0,0,0,Jeyhoon,8500000000,2833333,0,4800000,208333333333333e58
100,2,1,1,1,Lavizan,33000000000,1100000,3,5000000,20000
82,2,1,0,1,Shams Abad,32800000000,10933333,2,4100000,24390243902439002e55
120,3,1,1,1,Fatemi,48000000000,1600000,3,4000000,250000
139,3,1,1,1,Gisha,73000000000,24333333,3,4633333333333333e62,215827338129496e44
110,3,1,1,1,Keshavarz Boulevard,39500000000,13166667,3,3666666666666666e61,272727272727272e44
78,2,0,0,1,Parand,3700000000,1233333,1,3900000,25641025641025602e44
79,2,0,0,0,Baghestan,7500000000,250000,0,3950000,253164556962025e44
66,2,1,1,1,Salsabil,17250000000,575000,3,3300000,303030303030303e58
78,2,1,1,1,Kahrizak,7800000000,260000,3,3900000,25641025641025602e44
85,2,1,1,1,Shahryar,14190000000,473000,3,4250000,235294117647058e58
100,2,1,1,0,Qarchak,12000000000,400000,2,5000000,20000
80,2,1,1,1,Northren Jamalzadeh,36000000000,1200000,3,4000000,250000
44,1,1,1,0,Salsabil,10500000000,350000,2,4400000,22727272727272703e58
120,2,1,1,0,Shahryar,12000000000,400000,2,6000000,16666666666666602e58
50,1,0,1,0,Shahrake Qods,3400000000,1133333,1,5000000,20000
121,3,1,1,0,Ostad Moein,33000000000,1100000,2,4033333333333334e62,24793388429752e55
80,2,1,1,1,Azarbaijan,28000000000,9333333,3,4000000,250000
70,2,0,1,1,Bahar,12000000000,400000,2,3500000,285714285714285e44
160,1,0,0,0,Qarchak,36000000,1200,0,16000000,6250000
40,0,0,0,0,Pakdasht,1650000000,55000,0,inf,00
88,2,1,1,1,Railway,28600000000,9533333,3,4400000,22727272727272703e58
141,3,1,1,1,Persian Gulf Martyrs Lake,38100000000,1270000,3,4700000,212765957446808e44
140,3,1,1,1,Persian Gulf Martyrs Lake,17900000000,5966667,3,4666666666666666e61,214285714285714e44
120,2,1,1,1,Persian Gulf Martyrs Lake,15300000000,510000,3,6000000,16666666666666602e58
66,2,0,1,0,Beryanak,10000000000,3333333,1,3300000,303030303030303e58
70,2,1,1,1,Punak,35000000000,11666667,3,3500000,285714285714285e44
75,2,1,0,1,Heshmatieh,30000000000,1000000,2,3750000,266666666666666e44
70,2,0,1,1,ElmoSanat,18000000000,600000,2,3500000,285714285714285e44
95,2,1,1,1,Golestan,9500000000,3166667,3,4750000,21052631578947303e58
127,2,1,1,1,Southern Janatabad,60000000000,2000000,3,6350000,15748031496062903e58
123,3,1,1,1,ShahreZiba,37000000000,12333333,3,4100000,24390243902439002e55
63,2,1,1,1,Southern Janatabad,20000000000,6666667,3,3150000,31746031746031703e58
90,2,1,1,1,Punak,30500000000,10166667,3,4500000,22222222222222203e58
105,2,1,1,1,Pardis,6050000000,2016667,3,5250000,19047619047618998e42
180,3,1,1,1,Pasdaran,99000000000,3300000,3,6000000,16666666666666602e58
120,3,1,0,1,Pirouzi,37000000000,12333333,2,4000000,250000
65,2,1,1,1,Feiz Garden,25000000000,8333333,3,3250000,307692307692307e44
158,3,1,1,1,Farmanieh,104800000000,34933333,3,5266666666666666e61,189873417721519e30
144,3,1,1,1,Chardivari,76320000000,2544000,3,4800000,208333333333333e58
144,3,1,1,1,Punak,76320000000,2544000,3,4800000,208333333333333e58
130,3,1,1,1,Gheitarieh,123000000000,4100000,3,4333333333333334e62,23076923076923e55
63,2,1,1,1,Central Janatabad,30000000000,1000000,3,3150000,31746031746031703e58
75,2,1,1,1,East Ferdows Boulevard,21000000000,700000,3,3750000,266666666666666e44
88,2,1,0,1,Gholhak,47000000000,15666667,2,4400000,22727272727272703e58
108,2,1,1,1,Pasdaran,91800000000,3060000,3,5400000,18518518518518503e58
117,2,1,1,1,Islamshahr,15795000000,526500,3,5850000,17094017094017e55
200,3,1,1,1,Pasdaran,120000000000,4000000,3,6666666666666667e46,150000
65,1,1,1,0,Pirouzi,17500000000,5833333,2,6500000,15384615384615302e60
90,2,1,1,1,Central Janatabad,37800000000,1260000,3,4500000,22222222222222203e58
125,2,1,1,1,Heravi,81000000000,2700000,3,6250000,160000
140,3,1,1,1,Heravi,91000000000,30333333,3,4666666666666666e61,214285714285714e44
71,2,0,1,1,Hashemi,15500000000,5166667,2,3550000,28169014084507e55
71,2,0,1,1,Jeyhoon,16400000000,5466667,2,3550000,28169014084507e55
67,2,1,1,1,Central Janatabad,27500000000,9166667,3,3350000,298507462686567e58
60,1,1,1,1,Punak,17500000000,5833333,3,6000000,16666666666666602e58
44,1,1,1,0,Andisheh,3500000000,1166667,2,4400000,22727272727272703e58
68,1,1,1,1,Heravi,41150000000,13716667,3,6800000,14705882352941101e58
100,2,1,1,1,Pasdaran,80000000000,26666667,3,5000000,20000
86,2,1,1,1,Pardis,5800000000,1933333,3,4300000,232558139534883e58
84,2,1,1,1,Pardis,5600000000,1866667,3,4200000,238095238095238e58
94,2,1,1,1,Heravi,48000000000,1600000,3,4700000,212765957446808e44
55,1,0,1,0,West Ferdows Boulevard,15500000000,5166667,1,5500000,181818181818181e44
113,2,1,1,1,Saadat Abad,75000000000,2500000,3,5650000,176991150442477e58
71,2,1,1,1,Islamshahr,6300000000,210000,3,3550000,28169014084507e55
70,2,1,1,0,Dehkade Olampic,20000000000,6666667,2,3500000,285714285714285e44
200,3,1,1,1,Golestan,24000000000,800000,3,6666666666666667e46,150000
106,2,1,1,1,Golestan,11000000000,3666667,3,5300000,18867924528301802e58
114,2,1,1,1,West Pars,38200000000,12733333,3,5700000,17543859649122802e58
100,2,1,1,1,Punak,60000000000,2000000,3,5000000,20000
122,2,1,1,1,Saadat Abad,58000000000,19333333,3,6100000,163934426229508e44
200,2,1,1,0,Damavand,35000000000,11666667,2,10000000,10000
154,3,1,1,1,Saadat Abad,123000000000,4100000,3,51333333333333337e64,194805194805194e44
200,3,1,1,1,East Ferdows Boulevard,110000000000,36666667,3,6666666666666667e46,150000
65,1,1,1,1,Southern Janatabad,30000000000,1000000,3,6500000,15384615384615302e60
124,3,1,1,1,Pirouzi,39680000000,13226667,3,4133333333333333e63,241935483870967e58
83,2,1,1,1,Republic,19090000000,6363333,3,4150000,240963855421686e60
104,2,1,1,1,East Ferdows Boulevard,57000000000,1900000,3,5200000,192307692307692e58
150,3,1,1,1,Zaferanieh,104900000000,34966667,3,5000000,20000
103,3,1,1,1,West Ferdows Boulevard,32000000000,10666667,3,3433333333333334e63,29126213592232994e42
48,1,1,1,1,West Ferdows Boulevard,19200000000,640000,3,4800000,208333333333333e58
165,3,1,1,1,Gheitarieh,123000000000,4100000,3,5500000,181818181818181e44
135,2,1,1,0,Gheitarieh,74000000000,24666667,2,6750000,14814814814814802e58
86,2,1,1,1,Saadat Abad,62000000000,20666667,3,4300000,232558139534883e58
75,2,1,1,1,East Ferdows Boulevard,23500000000,7833333,3,3750000,266666666666666e44
58,1,1,1,1,East Ferdows Boulevard,18500000000,6166667,3,5800000,172413793103448e58
82,2,1,1,1,Qazvin Imamzadeh Hassan,18860000000,6286667,3,4100000,24390243902439002e55
58,2,1,1,1,Shahran,22000000000,7333333,3,2900000,344827586206896e58
101,2,1,1,1,Beryanak,23230000000,7743333,3,5050000,19801980198019802e58
90,2,1,1,1,Niavaran,68000000000,22666667,3,4500000,22222222222222203e58
132,3,1,1,1,Gheitarieh,62500000000,20833333,3,4400000,22727272727272703e58
81,2,1,1,1,Valiasr,18630000000,621000,3,4050000,24691358024691303e58
166,3,1,1,1,Qalandari,125000000000,41666667,3,5533333333333333e62,18072289156626503e58
113,2,1,1,1,Pasdaran,85000000000,28333333,3,5650000,176991150442477e58
100,2,1,1,1,Valiasr,23000000000,7666667,3,5000000,20000
80,2,1,1,1,Central Janatabad,33500000000,11166667,3,4000000,250000
76,2,1,1,1,Jeyhoon,20000000000,6666667,3,3800000,26315789473684202e44
128,3,1,1,1,Punak,57000000000,1900000,3,42666666666666657e61,2343750000
140,2,1,1,1,Shahrake Gharb,126000000000,4200000,3,7000000,142857142857142e58
74,2,1,1,1,Amir Bahador,17020000000,5673333,3,3700000,27027027027026998e42
75,1,1,1,1,Central Janatabad,30000000000,1000000,3,7500000,133333333333333e58
120,2,1,1,1,Pasdaran,75000000000,2500000,3,6000000,16666666666666602e58
120,2,1,1,1,Pasdaran,75000000000,2500000,3,6000000,16666666666666602e58
85,2,1,1,1,Ekhtiarieh,50000000000,16666667,3,4250000,235294117647058e58
105,2,1,1,1,Pardis,7000000000,2333333,3,5250000,19047619047618998e42
58,1,1,1,1,Ekbatan,28100000000,9366667,3,5800000,172413793103448e58
75,2,1,1,1,Parand,3950000000,1316667,3,3750000,266666666666666e44
62,1,1,1,1,Shahran,18500000000,6166667,3,6200000,161290322580645e60
93,2,1,1,1,Rudhen,14500000000,4833333,3,4650000,21505376344086e58
75,2,1,1,1,Islamshahr,7150000000,2383333,3,3750000,266666666666666e44
86,2,1,1,0,Islamshahr,12000000000,400000,2,4300000,232558139534883e58
120,2,1,1,1,Southern Program Organization,42600000000,1420000,3,6000000,16666666666666602e58
95,2,1,1,1,Andisheh,15000000000,500000,3,4750000,21052631578947303e58
70,2,1,1,0,West Ferdows Boulevard,21200000000,7066667,2,3500000,285714285714285e44
75,2,1,1,0,East Ferdows Boulevard,20000000000,6666667,2,3750000,266666666666666e44
81,2,1,0,1,Pardis,5900000000,1966667,2,4050000,24691358024691303e58
65,1,1,1,0,West Ferdows Boulevard,19300000000,6433333,2,6500000,15384615384615302e60
75,2,1,1,1,East Ferdows Boulevard,27300000000,910000,3,3750000,266666666666666e44
106,2,1,1,0,East Ferdows Boulevard,31500000000,1050000,2,5300000,18867924528301802e58
115,2,1,1,1,East Ferdows Boulevard,46000000000,15333333,3,5750000,17391304347826e55
100,2,1,1,1,ShahreZiba,30000000000,1000000,3,5000000,20000
118,2,1,1,1,East Ferdows Boulevard,45000000000,1500000,3,5900000,169491525423728e44
116,2,1,1,1,East Ferdows Boulevard,51000000000,1700000,3,5800000,172413793103448e58
76,2,1,1,1,ShahreZiba,22000000000,7333333,3,3800000,26315789473684202e44
74,2,1,1,0,East Ferdows Boulevard,23000000000,7666667,2,3700000,27027027027026998e42
96,2,1,1,1,Saadat Abad,45000000000,1500000,3,4800000,208333333333333e58
87,2,1,1,1,Pardis,6250000000,2083333,3,4350000,229885057471264e58
43,1,1,1,0,Northern Janatabad,16200000000,540000,2,4300000,232558139534883e58
53,1,1,1,1,East Ferdows Boulevard,19200000000,640000,3,5300000,18867924528301802e58
78,2,1,1,1,ShahreZiba,22500000000,750000,3,3900000,25641025641025602e44
55,1,1,1,1,West Ferdows Boulevard,18500000000,6166667,3,5500000,181818181818181e44
120,2,1,1,0,Saadat Abad,117000000000,3900000,2,6000000,16666666666666602e58
78,2,1,1,1,Southern Janatabad,36000000000,1200000,3,3900000,25641025641025602e44
95,2,1,1,1,Southern Janatabad,44000000000,14666667,3,4750000,21052631578947303e58
115,3,1,1,1,Punak,45000000000,1500000,3,38333333333333346e63,260869565217391e44
113,2,1,1,1,Punak,43000000000,14333333,3,5650000,176991150442477e58
85,2,1,1,1,Punak,33800000000,11266667,3,4250000,235294117647058e58
140,3,1,1,1,Saadat Abad,100000000000,33333333,3,4666666666666666e61,214285714285714e44
90,2,1,1,1,Saadat Abad,65000000000,21666667,3,4500000,22222222222222203e58
63,1,1,0,0,Punak,22000000000,7333333,1,6300000,15873015873015802e58
75,2,1,1,1,Central Janatabad,32200000000,10733333,3,3750000,266666666666666e44
130,3,1,1,1,Punak,62400000000,2080000,3,4333333333333334e62,23076923076923e55
91,2,1,1,1,Punak,33500000000,11166667,3,4550000,219780219780219e44
121,3,1,1,1,Persian Gulf Martyrs Lake,36500000000,12166667,3,4033333333333334e62,24793388429752e55
126,2,1,1,1,East Ferdows Boulevard,55000000000,18333333,3,6300000,15873015873015802e58
450,2,1,1,0,Absard,42000000000,1400000,2,22500000,44444444444443993e58
500,2,1,1,0,Absard,39000000000,1300000,2,25000000,40000
110,1,1,1,1,Pasdaran,66000000000,2200000,3,11000000,9090909090909e28
145,3,1,1,1,Haft Tir,47000000000,15666667,3,48333333333333335e62,206896551724137e58
81,2,1,1,1,Shahrake Qods,8100000000,270000,3,4050000,24691358024691303e58
64,2,1,1,1,ShahreZiba,22000000000,7333333,3,3200000,31250000
112,2,1,1,1,ShahreZiba,36800000000,12266667,3,5600000,17857142857142803e58
192,3,1,1,1,Marzdaran,126700000000,42233333,3,6400000,156250000
164,3,1,1,1,Marzdaran,100000000000,33333333,3,5466666666666665e61,182926829268292e58
135,3,1,1,1,Pasdaran,81000000000,2700000,3,4500000,22222222222222203e58
170,3,1,1,1,Mahallati,92000000000,30666667,3,5666666666666665e61,176470588235294e44
130,3,1,1,1,Mahallati,52000000000,17333333,3,4333333333333334e62,23076923076923e55
84,2,1,1,1,Shahran,34000000000,11333333,3,4200000,238095238095238e58
82,2,1,1,1,Shahran,35500000000,11833333,3,4100000,24390243902439002e55
60,1,1,1,1,Southern Janatabad,19500000000,650000,3,6000000,16666666666666602e58
65,1,0,1,1,Southern Janatabad,20000000000,6666667,2,6500000,15384615384615302e60
60,1,1,1,0,Southern Janatabad,22800000000,760000,2,6000000,16666666666666602e58
63,2,1,1,1,Southern Janatabad,20000000000,6666667,3,3150000,31746031746031703e58
70,2,1,1,1,Southern Janatabad,19500000000,650000,3,3500000,285714285714285e44
92,2,1,1,1,Feiz Garden,39000000000,1300000,3,4600000,21739130434782603e58
98,2,1,1,1,Pasdaran,78000000000,2600000,3,4900000,20408163265306102e44
62,1,1,1,1,Southern Janatabad,22800000000,760000,3,6200000,161290322580645e60
65,1,1,1,1,Punak,29000000000,9666667,3,6500000,15384615384615302e60
90,2,1,1,1,Ozgol,50000000000,16666667,3,4500000,22222222222222203e58
59,2,1,1,1,Southern Janatabad,19000000000,6333333,3,2950000,33898305084745702e44
63,2,1,1,1,Southern Janatabad,20000000000,6666667,3,3150000,31746031746031703e58
60,2,1,1,1,Southern Janatabad,22000000000,7333333,3,3000000,333333333333333e44
70,2,1,1,1,Southern Janatabad,25000000000,8333333,3,3500000,285714285714285e44
60,1,1,1,1,Southern Janatabad,22000000000,7333333,3,6000000,16666666666666602e58
165,3,1,1,1,Pasdaran,105000000000,3500000,3,5500000,181818181818181e44
65,1,1,1,1,Southern Janatabad,20000000000,6666667,3,6500000,15384615384615302e60
60,1,1,1,1,Southern Janatabad,22500000000,750000,3,6000000,16666666666666602e58
60,1,1,1,1,Southern Janatabad,22500000000,750000,3,6000000,16666666666666602e58
86,2,1,1,1,Southern Janatabad,36000000000,1200000,3,4300000,232558139534883e58
109,2,1,1,1,Heravi,60000000000,2000000,3,5450000,18348623853210997e42
98,2,1,1,0,Narmak,28420000000,9473333,2,4900000,20408163265306102e44
80,2,1,1,1,Central Janatabad,31200000000,1040000,3,4000000,250000
143,3,1,1,1,Gheitarieh,88600000000,29533333,3,4766666666666666e61,209790209790209e44
95,2,1,1,1,Saadat Abad,45500000000,15166667,3,4750000,21052631578947303e58
86,2,1,1,1,Punak,37000000000,12333333,3,4300000,232558139534883e58
160,3,1,1,1,Gheitarieh,100000000000,33333333,3,5333333333333333e63,18750000
74,1,1,1,1,Punak,32500000000,10833333,3,7400000,13513513513513502e58
87,2,1,1,1,Northern Janatabad,35500000000,11833333,3,4350000,229885057471264e58
82,2,1,1,1,West Ferdows Boulevard,34500000000,1150000,3,4100000,24390243902439002e55
55,1,1,1,1,ShahreZiba,24900000000,830000,3,5500000,181818181818181e44
148,3,1,1,1,Ekhtiarieh,84000000000,2800000,3,4933333333333334e63,202702702702702e44
55,1,1,0,1,ShahreZiba,20200000000,6733333,2,5500000,181818181818181e44
100,2,1,1,0,Southern Janatabad,38000000000,12666667,2,5000000,20000
55,1,0,1,0,West Ferdows Boulevard,15500000000,5166667,1,5500000,181818181818181e44
130,3,1,1,1,Central Janatabad,53000000000,17666667,3,4333333333333334e62,23076923076923e55
100,2,1,1,1,Gheitarieh,80000000000,26666667,3,5000000,20000
170,2,1,1,1,Farmanieh,124000000000,41333333,3,8500000,117647058823529e58
80,2,1,1,1,North Program Organization,31000000000,10333333,3,4000000,250000
110,2,1,1,1,Tajrish,66000000000,2200000,3,5500000,181818181818181e44
650,2,1,1,0,Absard,52000000000,17333333,2,32500000,30769230769229997e40
200,3,1,1,1,Saadat Abad,120000000000,4000000,3,6666666666666667e46,150000
101,3,1,1,1,Ekhtiarieh,65000000000,21666667,3,3366666666666666e62,297029702970297e30
104,2,1,1,1,Feiz Garden,38500000000,12833333,3,5200000,192307692307692e58
70,2,1,1,1,Northern Janatabad,32000000000,10666667,3,3500000,285714285714285e44
76,2,1,1,0,ShahreZiba,25700000000,8566667,2,3800000,26315789473684202e44
110,2,1,1,1,Feiz Garden,43000000000,14333333,3,5500000,181818181818181e44
90,2,1,1,1,Feiz Garden,38500000000,12833333,3,4500000,22222222222222203e58
77,2,1,1,1,ShahreZiba,25700000000,8566667,3,3850000,259740259740259e58
96,2,1,1,1,Pasdaran,56000000000,18666667,3,4800000,208333333333333e58
75,1,1,1,1,Central Janatabad,32500000000,10833333,3,7500000,133333333333333e58
79,2,1,1,1,Abazar,30000000000,1000000,3,3950000,253164556962025e44
67,1,1,1,1,Saadat Abad,34000000000,11333333,3,6700000,14925373134328301e60
125,2,1,1,1,ShahreZiba,64000000000,21333333,3,6250000,160000
75,2,1,1,0,ShahreZiba,18900000000,630000,2,3750000,266666666666666e44
75,2,1,1,0,ShahreZiba,18900000000,630000,2,3750000,266666666666666e44
91,2,1,1,1,Saadat Abad,54000000000,1800000,3,4550000,219780219780219e44
105,2,1,1,1,Parand,14175000000,472500,3,5250000,19047619047618998e42
66,2,1,1,1,Ostad Moein,15850000000,5283333,3,3300000,303030303030303e58
86,2,1,1,1,Southern Janatabad,32700000000,1090000,3,4300000,232558139534883e58
72,2,1,1,0,Northern Janatabad,23800000000,7933333,2,3600000,277777777777777e58
148,2,1,0,1,Koohsar,45000000000,1500000,2,7400000,13513513513513502e58
84,2,1,1,1,Saadat Abad,46000000000,15333333,3,4200000,238095238095238e58
128,2,1,1,1,Niavaran,128000000000,42666667,3,6400000,156250000
65,1,1,1,1,West Ferdows Boulevard,39000000000,1300000,3,6500000,15384615384615302e60
140,3,1,1,1,Pasdaran,118000000000,39333333,3,4666666666666666e61,214285714285714e44
